;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart
Advertising budget (EUR);;0;0;;;0;100000;;;500000;100000;;;500000;500000;;;1000000;0;;;100000;1000000
Sales figures (pcs);;;;;;;;;;;;;;;;;;;;;;;
;1;1049;3337;;1;873;2800;;1;3574;3120;;1;3400;4441;;1;6015;2899;;1;1382;4891
;2;883;2921;;2;934;3031;;2;3613;2941;;2;3468;4348;;2;6511;3353;;2;1571;5302
;3;868;3228;;3;1139;3392;;3;3559;3010;;3;3605;4116;;3;6874;2842;;3;1320;5133
;4;1044;3365;;4;978;3155;;4;3681;3223;;4;3547;3642;;4;6497;3037;;4;1389;5319
;5;999;3069;;5;1056;3049;;5;3423;3060;;5;3331;4126;;5;4764;2832;;5;1579;4600
;6;923;3340;;6;1006;2949;;6;3119;3032;;6;3495;4033;;6;5843;2787;;6;1399;4725
;7;950;2945;;7;1023;3185;;7;3050;3113;;7;3476;3900;;7;6390;3034;;7;1545;5127
;8;980;3252;;8;1037;2992;;8;2898;3044;;8;3727;4239;;8;6504;3308;;8;1410;4874
;9;919;2987;;9;1040;3024;;9;3252;2778;;9;3488;3816;;9;6612;3030;;9;1616;5091
;10;1049;2994;;10;1118;3283;;10;3590;3302;;10;3456;4095;;10;6000;3117;;10;1579;5363
;11;1025;2754;;11;955;3191;;11;3242;3196;;11;3419;4065;;11;5726;2949;;11;1468;4939
;12;1094;3167;;12;1294;3212;;12;3112;3195;;12;3452;3757;;12;5880;2927;;12;1442;5125
;13;1000;3195;;13;1052;3391;;13;3700;3422;;13;3825;4710;;13;6347;2999;;13;1587;5010
;14;918;2998;;14;1117;3114;;14;3742;3419;;14;3290;4135;;14;6021;2958;;14;1247;4432
;15;1026;2934;;15;1048;3040;;15;3423;3053;;15;3650;3875;;15;6245;2944;;15;1362;4676
;16;927;2872;;16;1001;3539;;16;3626;3315;;16;3581;3988;;16;5600;2830;;16;1505;4799
;17;891;2884;;17;1055;3322;;17;3465;3382;;17;3146;4118;;17;6835;3089;;17;1485;5057
;18;959;2867;;18;792;2775;;18;3826;3176;;18;3647;4090;;18;5936;3157;;18;1700;5320
;19;952;2773;;19;1080;3268;;19;3883;3502;;19;3302;3794;;19;6424;2999;;19;1169;4339
;20;1159;3312;;20;1003;3181;;20;3352;3362;;20;3581;4038;;20;6236;3165;;20;1447;4968
;21;918;2983;;21;1114;3457;;21;3237;3181;;21;3762;4192;;21;5275;2933;;21;1507;5093
;22;1090;2811;;22;1212;3140;;22;3705;3383;;22;4283;4256;;22;6109;2892;;22;1588;4920
;23;952;3026;;23;1128;3590;;23;3509;3068;;23;3474;4064;;23;6351;3285;;23;1634;5068
;24;1179;2987;;24;860;2813;;24;3619;3310;;24;3774;3846;;24;6082;2930;;24;1405;4984
;25;1057;3009;;25;1011;3033;;25;3783;3344;;25;2988;3420;;25;5440;2423;;25;1804;4996
;26;990;3068;;26;1056;3238;;26;3288;2799;;26;3628;4348;;26;6340;3166;;26;1437;5202
;27;903;2782;;27;1052;3428;;27;3781;3519;;27;2990;3667;;27;6170;2704;;27;1190;4715
;28;1034;2944;;28;1069;3366;;28;3344;2858;;28;3556;4436;;28;6125;3144;;28;1608;5312
;29;1125;3144;;29;1142;3206;;29;3174;3020;;29;3512;3994;;29;5841;2876;;29;1326;4966
;30;1088;3035;;30;956;2588;;30;3139;3017;;30;3862;4424;;30;5430;2970;;30;1275;5081
;31;1055;2820;;31;979;3434;;31;3476;3330;;31;3653;3954;;31;6314;3134;;31;1646;5473
;32;1007;3109;;32;1017;3071;;32;3534;3388;;32;3333;3623;;32;5730;3034;;32;1324;4720
;33;1023;3099;;33;1132;3203;;33;3529;3199;;33;3281;3814;;33;6359;2881;;33;1459;4684
;34;1189;3188;;34;897;3276;;34;3516;3365;;34;3514;4221;;34;6035;2981;;34;1416;4728
;35;1020;3468;;35;946;3235;;35;3346;3048;;35;3886;3917;;35;5909;2744;;35;1609;5095
;36;873;2726;;36;943;3182;;36;3571;3217;;36;3559;3963;;36;5661;2870;;36;1461;5038
;37;1080;3011;;37;867;3477;;37;3283;3110;;37;3190;4194;;37;6563;3089;;37;1567;5255
;38;857;3112;;38;1024;3603;;38;3613;3223;;38;3323;3984;;38;5897;2900;;38;1692;5305
;39;1048;2919;;39;934;3301;;39;3693;3538;;39;3593;3581;;39;5801;3075;;39;1531;4709
;40;1075;3027;;40;1175;3586;;40;3328;3181;;40;3624;4047;;40;5065;2891;;40;1697;5025
;41;971;2961;;41;914;2751;;41;3882;3079;;41;3928;4550;;41;6720;3401;;41;1508;5416
;42;1044;3027;;42;1005;3204;;42;3248;3466;;42;3760;4292;;42;6303;3066;;42;1503;5129
;43;1021;3036;;43;1049;3490;;43;3418;3413;;43;3678;4306;;43;5574;2786;;43;1410;4357
;44;990;2858;;44;1092;3510;;44;3776;3123;;44;3298;3862;;44;6212;3114;;44;1632;5058
;45;1098;2997;;45;977;3007;;45;3175;3358;;45;3324;3914;;45;6200;3184;;45;1462;5015
;46;1087;3234;;46;1016;2608;;46;3666;3038;;46;3505;4153;;46;5613;2730;;46;1482;4916
;47;926;2941;;47;1308;3535;;47;3386;3530;;47;3023;4276;;47;6607;2889;;47;1517;4758
;48;1032;3082;;48;1138;3054;;48;3116;3296;;48;3060;3590;;48;6376;3086;;48;1302;4793
;49;983;2931;;49;1070;3226;;49;3402;3097;;49;3525;3833;;49;6316;3187;;49;1490;5013
;50;1019;2860;;50;784;2716;;50;3240;2859;;50;3505;4384;;50;5633;2918;;50;1712;5299
;51;1071;2882;;51;832;3169;;51;3343;3109;;51;3350;3960;;51;5951;2996;;51;1521;4914
;52;1072;3066;;52;1079;3405;;52;3283;3379;;52;3014;3939;;52;5686;2669;;52;1673;4775
;53;948;2779;;53;985;2982;;53;3457;3184;;53;3682;4102;;53;6185;3085;;53;1628;5623
